============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .1080906E+07   1500002E-01 -.3908E+04 -.1200E+04   .9943933 -.0831149  .0653749
T    2  2 .1167311E+07   1500006E-01  .1895E+04 -.3176E+04   .9998007 -.0141411 -.0140910
T    3  2 .1111186E+07   1500013E-01 -.5492E+03 -.1152E+04   .9992356 -.0379453 -.0094041
T    4  2 .1172022E+07   1500007E-01 -.2943E+03  .2498E+04   .9977550  .0642396  .0189281
T    5  2 .1122692E+07   1500020E-01 -.4665E+04  .3652E+04   .9941559 -.0877879  .0628280
T    6  2 .1124991E+07   1500011E-01  .2661E+04  .2906E+04   .9893595  .0364827  .1408433
T    7  2 .1077721E+07   1500000E-01 -.1964E+04 -.3374E+04   .9981431  .0038268 -.0607921
T    8  2 .1252701E+07   1500015E-01  .7460E+03 -.3921E+04   .9978373 -.0077473 -.0652748
T    9  2 .1077262E+07   1500004E-01  .5455E+04 -.2545E+03   .9967361  .0758763 -.0275666
T   10  2 .1123651E+07   1500022E-01 -.8175E+03  .2311E+04   .9649959 -.1262741  .2298646
T   11  2 .1282169E+07   1500018E-01 -.1088E+04 -.4633E+03   .9990805 -.0059668  .0424567
T   12  2 .1244500E+07   1500005E-01 -.2846E+04  .2142E+04   .9950300 -.0669700  .0736908
T   13  2 .1147273E+07   1500000E-01  .5059E+03 -.1932E+04   .9972616 -.0372798 -.0638713
T   14  2 .1072955E+07   1500008E-01 -.1210E+04 -.6185E+03   .9975777 -.0320513 -.0617366
T   15  2 .1196258E+07   1500014E-01  .2821E+03 -.5939E+04   .9971560  .0596939 -.0460051
T   16  2 .1098149E+07   1500009E-01 -.4202E+04  .3341E+04   .9884761  .0065643  .1512345
T   17  2 .1272334E+07   1500023E-01  .2657E+04  .4313E+02   .9989620  .0058496 -.0451740
T   18  2 .1061074E+07   1500018E-01 -.1844E+03 -.2064E+04   .9988754 -.0450781 -.0146922
T   19  2 .1166009E+07   1500025E-01 -.1856E+04 -.3726E+03   .9991264 -.0142975  .0392676
T   20  2 .1223108E+07   1500018E-01 -.1968E+03 -.1970E+04   .9996407  .0244837 -.0109125
T   21  2 .1075227E+07   1500016E-01 -.6425E+04 -.3313E+04   .9947077 -.0867267 -.0550920
T   22  2 .1097831E+07   1500002E-01  .6880E+04  .5330E+03   .9975081  .0275996 -.0649291
T   23  2 .1061400E+07   1500012E-01  .9503E+03  .1217E+04   .9859800  .1316345 -.1025465
T   24  2 .9844541E+06   1500020E-01  .3792E+04 -.2191E+04   .9995471  .0174570  .0245131
T   25  2 .1127013E+07   1500016E-01 -.1026E+05 -.8123E+04   .9920337 -.1113759  .0588612
T   26  2 .1269906E+07   1500022E-01 -.2115E+04  .5216E+04   .9966054 -.0644609  .0512103
T   27  2 .1172164E+07   1500015E-01  .7419E+03  .2769E+04   .9951175 -.0034492  .0986373
T   28  2 .1153882E+07   1500001E-01 -.9619E+04 -.5234E+04   .9888292 -.1244524 -.0820273
T   29  2 .1124365E+07   1500007E-01  .3321E+04  .5892E+04   .9867239  .0886662  .1360669
T   30  2 .1030779E+07   1500005E-01 -.6233E+03 -.2086E+04   .9976700 -.0581417 -.0356957
T   31  2 .1025145E+07   1500018E-01  .6394E+04  .2413E+04   .9858364  .1612269  .0461781
T   32  2 .9500412E+06   1500024E-01  .1177E+05  .4948E+04   .9469836  .2891339  .1400847
T   33  2 .1092636E+07   1500020E-01  .2337E+04  .2795E+03   .9954140  .0951074  .0102705
T   34  2 .1135890E+07   1500010E-01 -.3041E+04  .8342E+04   .9845654 -.1335794  .1130821
T   35  2 .1027814E+07   1500010E-01  .5643E+04 -.6456E+04   .9765678  .1474930 -.1567200
T   36  2 .1058953E+07   1500019E-01  .1755E+04 -.8842E+04   .9993662 -.0062550 -.0350449
T   37  2 .1324204E+07   1500026E-01  .3758E+03  .3791E+04   .9989786  .0345135  .0291654
T   38  2 .1127333E+07   1500008E-01  .2352E+04 -.3035E+04   .9997348  .0048181 -.0225205
T   39  2 .1226096E+07   1500005E-01  .8844E+03  .3852E+04   .9981825 -.0032800  .0601748
T   40  2 .1279141E+07   1500025E-01 -.2004E+04 -.2315E+04   .9995208  .0164411 -.0262255
T   41  2 .1209881E+07   1500013E-01  .3422E+04  .1654E+05   .9833480 -.0032091  .1817043
T   42  2 .1075969E+07   1500004E-01  .5331E+03  .1149E+04   .9997837  .0040595  .0203966
T   43  2 .9085506E+06   1500013E-01  .2374E+05  .2476E+05   .9598129  .1709554  .2225610
T   44  2 .1051318E+07   1500018E-01 -.5500E+04 -.5718E+04   .9864672 -.0636228 -.1511112
T   45  2 .1173701E+07   1500020E-01  .3279E+04  .1424E+04   .9939441  .1057217  .0299667
