Betas: 
543.29	 1173.42 9 	    81.73 % 21 	  0.4440 11 

Electrons:
Auger K	     1.18  	    16.21 % 18 	  1.913E-4 21 
CE K	  1128.36 10   	     2.59E-5 % 21 	  2.93E-7 24 
CE L	  1129.67 10   	     1.67E-6 % 14 	  1.88E-8 15 
CE M	  1129.67 10   	     6.2E-8 % 5 	  7.0E-10 6 
CE K	  1807.34 7   	     5.28E-4 % 8 	  9.54E-6 14 
CE M	  1808.65 7   	     1.256E-6 % 18 	  2.27E-8 3 
CE L	  1808.65 7   	     3.39E-5 % 5 	  6.13E-7 9 
CE K	  2936.6951 4   	     5.5E-7 % 9 	  1.6E-8 3 
CE L	  2938  	     3.5E-8 % 6 	  1.04E-9 17 
CE M	  2938  	     1.31E-9 % 22 	  3.8E-11 6 
