Betas:
382.99 93 	  805.8 21 	     0.0380 % 22 	  1.46E-4 8 

Electrons: 
Auger L	     7.97  	    54.4 % 14 	  0.00433 11 
Auger K	    56.7  	     2.9 % 3 	  0.00162 18 
CE K	   240.10 12   	     1.88E-4 % 17 	  4.5E-7 4 
CE L	   312.24 12   	     3.2E-5 % 3 	  1.00E-7 9 
CE M	   324.25 12   	     7.5E-6 % 7 	  2.44E-8 22 
CE K	   481.6935 21   	     1.537 % 22 	  0.00740 11 
CE L	   553.8372 21   	     0.442 % 6 	  0.00245 3 
CE M	   565.8473 21   	     0.111 % 5 	  6.3E-4 3 
CE K	   809.77 12   	     0.00246 % 10 	  1.99E-5 8 
CE L	   881.91 12   	     4.07E-4 % 17 	  3.59E-6 15 
CE M	   893.92 12   	     9.5E-5 % 4 	  8.5E-7 4 
CE K	   975.651 3   	     7.08 % 17 	  0.0691 17 
CE L	  1047.795 3   	     1.84 % 5 	  0.0193 5 
CE M	  1059.805 3   	     0.44 % 3 	  0.0047 3 
CE K	  1354.20 20   	     3.55E-4 % 8 	  4.81E-6 10 
CE L	  1426.34 20   	     6.13E-5 % 13 	  8.74E-7 19 
CE M	  1438.35 20   	     1.44E-5 % 3 	  2.07E-7 4 
CE K	  1682.224 9   	     0.0238 % 12 	  4.00E-4 21 
CE L	  1754.367 9   	     0.0034 % 5 	  5.9E-5 10 
