Betas:
174.32 6 	  513.97 17 	    94.70 % 20 	  0.1651 4 
334.65 8 	  892.13 20 	     5.8E-4 % 8 	  1.9E-6 3 
416.26 8 	 1175.63 17 	     5.30 % 20 	  0.0221 8 

Electrons:
Auger L	     3.67  	     7.40 % 10 	  2.72E-4 4 
Auger K	    26.4  	     0.78 % 3 	  2.06E-4 9 
CE K	   624.216 3   	     7.79 % 11 	  0.0486 7 
CE L	   655.668 3   	     1.402 % 20 	  0.00920 13 
CE M	   660.364 3   	     0.300 % 4 	  0.00198 3 
CE N	   661.404 3   	     0.0646 % 9 	  4.27E-4 6 
CE O	   661.637 3   	     0.00965 % 14 	  6.39E-5 9 
