Betas:
33.45 20 	  126.5 7 	     0.0199 % 12 	  6.6E-6 4 
47.38 21 	  175.5 7 	     1.831 % 15 	  8.68E-4 8 
58.49 21 	  213.3 7 	     0.1067 % 23 	  6.24E-5 13 
75.29 22 	  268.7 7 	     0.0456 % 22 	  3.43E-5 17 
112.34 23 	  384.9 7 	     2.430 % 19 	  0.002729 22 
151.44 25 	  500.4 7 	     0.0189 % 10 	  2.86E-5 15 
164.10 25 	  536.7 7 	     0.0232 % 12 	  3.80E-5 20 
221.69 26 	  695.7 7 	    13.73 % 11 	  0.03043 25 
226.90 27 	  709.7 7 	     0.264 % 9 	  5.98E-4 21 
295.12 28 	  888.4 7 	     0.284 % 6 	  8.37E-4 18 
364.69 29 	 1063.5 7 	     0.913 % 11 	  0.00333 4 
535.49 30 	 1474.6 7 	     8.24 % 19 	  0.0441 10 
230.84 31 	  486.1 7 	     0.00260 % 10 	  6.00E-6 23 
338.25 31 	  730.8 7 	     0.023 % 7 	  7.8E-5 24 


Electrons:
Auger L	     4.84  	     0.816 % 12 	  3.95E-5 6 
Auger K	    34.9  	     0.063 % 4 	  2.21E-5 13 
CE K	   121.9 4   	     1.0E-4 % 5 	  1.3E-7 6 
CE K	   142.36 5   	     2.89E-4 % 10 	  4.12E-7 14 
CE K	   144.98 15   	     8.4E-5 % 8 	  1.22E-7 11 
CE K	   159.17 13   	     4.1E-5 % 14 	  6.5E-8 22 
CE L	   163.7 4   	     4.1E-5 % 21 	  7E-8 3 
CE M	   170.2 4   	     1.0E-5 % 5 	  1.6E-8 8 
CE N	   171.7 4   	     2.1E-6 % 11 	  3.7E-9 18 
CE O	   172.1 4   	     2.9E-7 % 15 	  5E-10 3 
CE L	   184.22 5   	     4.10E-5 % 14 	  7.6E-8 3 
CE L	   186.84 15   	     1.19E-5 % 11 	  2.23E-8 21 
CE M	   190.72 5   	     8.9E-6 % 3 	  1.69E-8 6 
CE N	   192.22 5   	     2.02E-6 % 7 	  3.89E-9 14 
CE O	   192.57 5   	     3.04E-7 % 11 	  5.85E-10 21 
CE M	   193.34 15   	     2.58E-6 % 24 	  5.0E-9 5 
CE N	   194.84 15   	     5.9E-7 % 5 	  1.14E-9 11 
CE O	   195.19 15   	     8.8E-8 % 8 	  1.72E-10 16 
CE L	   201.03 13   	     5.8E-6 % 19 	  1.2E-8 4 
CE M	   207.53 13   	     1.2E-6 % 4 	  2.6E-9 9 
CE N	   209.03 13   	     2.8E-7 % 9 	  5.9E-10 20 
CE O	   209.38 13   	     4.3E-8 % 14 	  9E-11 3 
CE K	   220.84 4   	     0.00444 % 13 	  9.8E-6 3 
CE L	   262.70 4   	     0.00115 % 3 	  3.01E-6 9 
CE K	   264.86 3   	     0.00160 % 5 	  4.23E-6 13 
CE M	   269.20 4   	     2.61E-4 % 8 	  7.03E-7 22 
CE N	   270.70 4   	     5.89E-5 % 18 	  1.59E-7 5 
CE O	   271.05 4   	     8.3E-6 % 3 	  2.25E-8 7 
CE K	   274.59 3   	     0.0035 % 10 	  1.0E-5 3 
CE K	   294.0394 13   	     0.824 % 15 	  0.00242 4 
CE K	   301.42 5   	     3.11E-4 % 24 	  9.4E-7 7 
