Betas: 
24.23 45 	   92.2 16 	     1.4E-6 % 3 	  3.4E-10 7 
184.59 61 	  517.8 16 	     0.0115 % 14 	  2.1E-5 3 
932.40 73 	 2278.5 16 	    99.9885 % 14 	  0.9323 7 

Electrons: 
Auger L	     2.02  	     0.01175 % 4 	  2.373E-7 8 
Auger K	    13.4  	     0.00272 % 4 	  3.65E-7 5 
CE K	  1742.70 20   	     0.0102 %	  1.78E-4
CE L	  1758.17 20   	     0.00126 %	  2.2E-5
CE K	  2168.24 3   	     1.7E-10 % 4 	  3.7E-12 8 
CE L	  2183.71 3   	     1.9E-11 % 4 	  4.1E-13 9 
CE M	  2185.81 3   	     3.2E-12 % 7 	  7.0E-14 15 
CE N	  2186.19 3   	     4.6E-13 % 10 	  1.00E-14 22
